"hr_id","animal_id","species","sex","year","month","season","n_pts","n_days"
"00355_MD14F0049_2015_02","MD14F0049","Mule Deer","F",2015,2,"Winter",100,27.125
"00356_MD14F0049_2015_07","MD14F0049","Mule Deer","F",2015,7,"Summer",72,30.7916666666667
"00178_MD14F0014_2015_02","MD14F0014","Mule Deer","F",2015,2,"Winter",98,27.6666666666667
"00179_MD14F0014_2015_07","MD14F0014","Mule Deer","F",2015,7,"Summer",48,27.625
"00180_MD14F0014_2016_02","MD14F0014","Mule Deer","F",2016,2,"Winter",92,28.7083333333333
"00181_MD14F0014_2016_07","MD14F0014","Mule Deer","F",2016,7,"Summer",26,12
"00182_MD14F0014_2017_02","MD14F0014","Mule Deer","F",2017,2,"Winter",100,27.6666666666667
"00191_MD14F0018_2015_02","MD14F0018","Mule Deer","F",2015,2,"Winter",100,27.6666666666667
"00192_MD14F0018_2015_07","MD14F0018","Mule Deer","F",2015,7,"Summer",82,30.25
"00193_MD14F0018_2016_02","MD14F0018","Mule Deer","F",2016,2,"Winter",106,28.7083333333333
"00194_MD14F0018_2016_07","MD14F0018","Mule Deer","F",2016,7,"Summer",90,28.7083333333333
"00195_MD14F0018_2017_02","MD14F0018","Mule Deer","F",2017,2,"Winter",92,27.625
"00196_MD14F0018_2017_07","MD14F0018","Mule Deer","F",2017,7,"Summer",54,28.5
"00197_MD14F0018_2018_02","MD14F0018","Mule Deer","F",2018,2,"Winter",102,27.6666666666667
"00198_MD14F0018_2018_07","MD14F0018","Mule Deer","F",2018,7,"Summer",92,29.75
"00199_MD14F0018_2019_02","MD14F0018","Mule Deer","F",2019,2,"Winter",80,25.0416666666667
"00210_MD14F0023_2015_02","MD14F0023","Mule Deer","F",2015,2,"Winter",100,27.625
"00211_MD14F0023_2015_07","MD14F0023","Mule Deer","F",2015,7,"Summer",120,30.25
"00212_MD14F0023_2016_02","MD14F0023","Mule Deer","F",2016,2,"Winter",100,28.7083333333333
"00213_MD14F0023_2016_07","MD14F0023","Mule Deer","F",2016,7,"Summer",114,30.25
"00214_MD14F0023_2017_02","MD14F0023","Mule Deer","F",2017,2,"Winter",112,27.5833333333333
"00215_MD14F0023_2017_07","MD14F0023","Mule Deer","F",2017,7,"Summer",116,30.5833333333333
"00216_MD14F0023_2018_02","MD14F0023","Mule Deer","F",2018,2,"Winter",102,27.125
"00217_MD14F0023_2018_07","MD14F0023","Mule Deer","F",2018,7,"Summer",96,30.25
"00218_MD14F0023_2019_02","MD14F0023","Mule Deer","F",2019,2,"Winter",586,27.9166666666667
"00263_MD14F0033_2015_02","MD14F0033","Mule Deer","F",2015,2,"Winter",106,26.625
"00264_MD14F0033_2019_02","MD14F0033","Mule Deer","F",2019,2,"Winter",644,27.9166666666667
"00265_MD14F0034_2015_02","MD14F0034","Mule Deer","F",2015,2,"Winter",102,25
"00266_MD14F0034_2015_07","MD14F0034","Mule Deer","F",2015,7,"Summer",84,29.5
"00267_MD14F0034_2016_02","MD14F0034","Mule Deer","F",2016,2,"Winter",88,25.5
"00268_MD14F0034_2016_07","MD14F0034","Mule Deer","F",2016,7,"Summer",96,29.5
"00269_MD14F0034_2017_02","MD14F0034","Mule Deer","F",2017,2,"Winter",98,27.9583333333333
"00270_MD14F0034_2017_07","MD14F0034","Mule Deer","F",2017,7,"Summer",80,29.7916666666667
"00271_MD14F0034_2018_02","MD14F0034","Mule Deer","F",2018,2,"Winter",100,27.5
"00272_MD14F0034_2018_07","MD14F0034","Mule Deer","F",2018,7,"Summer",66,27.5
"00273_MD14F0035_2015_02","MD14F0035","Mule Deer","F",2015,2,"Winter",110,27.6666666666667
"00274_MD14F0035_2015_07","MD14F0035","Mule Deer","F",2015,7,"Summer",82,29.2083333333333
"00275_MD14F0035_2016_02","MD14F0035","Mule Deer","F",2016,2,"Winter",96,26.125
"00276_MD14F0035_2016_07","MD14F0035","Mule Deer","F",2016,7,"Summer",92,30.25
"00277_MD14F0035_2017_02","MD14F0035","Mule Deer","F",2017,2,"Winter",108,27.625
"00278_MD14F0035_2017_07","MD14F0035","Mule Deer","F",2017,7,"Summer",98,30.5833333333333
"00279_MD14F0035_2018_02","MD14F0035","Mule Deer","F",2018,2,"Winter",102,27.6666666666667
